site,name,lon,lat,IGBP,source
LuanCheng,栾城,114.683333333333,37.8833333333333,CRO,nesdc
LinZe,临泽,100.140833333333,39.3272222222222,CRO,nesdc
YuCheng,禹城,116.5702,36.829,CRO,nesdc
GuCheng,固城,115.666666666667,39.1333333333333,CRO,nesdc
JinZhou,锦州,121.201666666667,41.1480555555556,CRO,nesdc
JuRong,句容,119.217222222222,31.8066666666667,CRO,nesdc
PanJin-CRO,盘锦-CRO,121.960277777778,40.9413888888889,CRO,nesdc
QingYang,庆阳,107.85,35.6666666666667,CRO,nesdc
ChangLing,长岭,123.470277777778,44.5966666666667,CRO,nesdc
Shouyang,寿阳,113.2,37.75,CRO,nesdc
Weishan,位山高营,116.0542,36.6487,CRO,nesdc
MiYun,密云,117.3233,40.6308,CRO,He2022
HuaiLai,怀来,115.788,40.3491,CRO,He2022
GuanTao,馆陶,115.1274,36.515,CRO,He2022
DaXing,大兴,116.4271,39.6213,CRO,He2022
DaMan,大满,100.37223,38.85551,CRO,Wang2024
YingKe,盈科,100.410333333333,38.8569444444445,CRO,Wang2024
AiLaoShan,哀牢山,101.028888888889,24.5380555555556,EBF,nesdc
Xishuangbanna-EBF,西双版纳-EBF,101.25,21.9166666666667,EBF,nesdc
Xishuangbanna-Rubber,西双版纳-Rubber,101.266666666667,21.9,EBF,nesdc
JinFoShan,金佛山,107.1508,29.0217,EBF,nesdc
DanZhou,儋州,109.475,19.5463888888889,EBF,nesdc
QianYanZhou,千烟洲,115.066666666667,26.7333333333333,ENF,nesdc
HuZhong,呼中,121.017777777778,51.7811111111111,ENF,nesdc
DangXiong,当雄,91.0833333333333,30.85,GRA,nesdc
NaQu,那曲,92.0166666666667,31.65,GRA,nesdc
HaiBei-GRA,海北-GRA,101.311944444444,37.6094444444445,GRA,nesdc
RuoErGai,若尔盖,102.55,32.8,GRA,nesdc
SanJiangYuan,三江源,100.699166666667,35.2530555555556,GRA,nesdc
Xilinhot-GRA,锡林浩特-典型草原,116.403888888889,43.3252777777778,GRA,nesdc
Xilinhot-GRA2,锡林浩特-刈割草原,116.671388888889,43.5544444444444,GRA,nesdc
DuoLun,多伦,116.283611111111,42.0466666666667,GRA,nesdc
Arou,阿柔,100.4643,38.0473,GRA,He2022
YaKou,垭口,100.2421,38.0142,GRA,Wang2024
NAMORS,NAMORS,90.96319,30.77302,GRA,He2022
HaiBei-WSA,海北-WSA,101.316666666667,37.6166666666667,WSA,nesdc
YuanJiang,元江,102.1775,23.4738888888889,SAV,nesdc
DaMao,达茂,110.331388888889,41.6438888888889,SAV,nesdc
DingHuShan,鼎湖山,112.534166666667,23.1736111111111,MF,nesdc
ChangBaiShan,长白山,128.0958,42.4025,MF,nesdc
MaoErShan,帽儿山,127.666666666667,45.4166666666667,DBF,nesdc
BaoTianMan,宝天曼,111.935277777778,33.4997222222222,DBF,nesdc
XiaoLangDi,小浪底,112.468888888889,35.0291666666667,DBF,nesdc
PuDing,普定,106.316666666667,26.6,MF,nesdc
YanShan-MF,燕山-MF,116.6539,40.4172,MF,nesdc
YanShan-ENF,燕山-ENF,116.6588,40.4165,ENF,nesdc
DaYeKou,大野口关滩,100.2502222,38.5336944,ENF,He2022
YanShan-WSA,燕山-WSA,116.6537,40.4214,WSA,nesdc
NanDi,南荻,113.052222222222,29.4875,WET,nesdc
PanJin-WET,盘锦-WET,121.964444444444,40.9325,WET,nesdc
ChongMing,崇明东滩,121.95,31.5166666666667,WET,nesdc
HaiBei-WET,海北-WET,101.316666666667,37.6,WET,nesdc
DaShaLong,大沙龙,98.9406,38.8399,WET,Wang2024
ZhangYe,张掖,100.4464,38.9751,WET,Wang2024
Qomolangma,珠穆拉玛,86.94913,28.36069,BSV,He2022
HuaZhaiZi,花寨子,100.3201,38.7659,BSV,Wang2024
JYL,景阳岭,101.116,37.8384,GRA,Wang2024
ARS,阿柔超级站,100.4643,38.0473,GRA,Wang2024
DDS,大冬树,100.2421,38.0142,GRA,Wang2024
SDQ,四道桥,101.1374,42.0012,,Wang2024
HHL,混合林,101.1335,41.9903,MF,Wang2024
HMo,荒漠,100.9872,42.1135,BSV,Wang2024
GTa,关滩,100.25,38.5333,,Wang2024
BJT,巴吉滩,100.3042,38.915,,Wang2024
SSW,神沙窝,100.4933,38.7892,,Wang2024
LDi,裸地,101.1326,41.9993,BSV,Wang2024
NTi,农田,101.1338,42.0048,CRO,Wang2024
HYL,胡杨林,101.1239,41.9932,,Wang2024
M01,EC Matrix 1,100.35813,38.89322,,Wang2024
M02,EC Matrix 2,100.35406,38.88695,CRO,Wang2024
M03,EC Matrix 3,100.37634,38.89053,CRO,Wang2024
M04,EC Matrix 4,100.35753,38.87752,,Wang2024
M05,EC Matrix 5,100.35068,38.87574,CRO,Wang2024
M06,EC Matrix 6,100.3597,38.87116,CRO,Wang2024
M07,EC Matrix 7,100.36521,38.87676,CRO,Wang2024
M08,EC Matrix 8,100.37649,38.87254,CRO,Wang2024
M09,EC Matrix 9,100.38546,38.87239,CRO,Wang2024
M10,EC Matrix 10,100.39572,38.87567,CRO,Wang2024
M11,EC Matrix 11,100.34197,38.86991,CRO,Wang2024
M12,EC Matrix 12,100.36631,38.86515,CRO,Wang2024
M13,EC Matrix 13,100.37852,38.8607,CRO,Wang2024
M14,EC Matrix 14,100.3531,38.85867,CRO,Wang2024
M16,EC Matrix 16,100.36411,38.84931,CRO,Wang2024
M17,EC Matrix 17,100.36972,38.8451,,Wang2024
AR-SLu,AR-SLu,-66.4598,-33.4648,MF,fluxnet2015
AR-Vir,AR-Vir,-56.1886,-28.2395,ENF,fluxnet2015
AT-Neu,AT-Neu,11.3175,47.11667,GRA,fluxnet2015
AU-ASM,AU-ASM,133.249,-22.283,ENF,fluxnet2015
AU-Ade,AU-Ade,131.1178,-13.0769,WSA,fluxnet2015
AU-Cow,AU-Cow,145.42715,-16.23819,,plumber2
AU-Cpr,AU-Cpr,140.5891,-34.0021,SAV,fluxnet2015
AU-Ctr,AU-Ctr,145.44685,-16.10328,,plumber2
AU-Cum,AU-Cum,150.72362,-33.61518,EBF,fluxnet2015
AU-DaP,AU-DaP,131.3181,-14.0633,GRA,fluxnet2015
AU-DaS,AU-DaS,131.3881,-14.1593,SAV,fluxnet2015
AU-Dry,AU-Dry,132.3706,-15.2588,SAV,fluxnet2015
AU-Emr,AU-Emr,148.4746,-23.8587,GRA,fluxnet2015
AU-Fog,AU-Fog,131.3072,-12.5452,WET,fluxnet2015
AU-GWW,AU-GWW,120.6541,-30.1913,SAV,fluxnet2015
AU-Gin,AU-Gin,115.7138,-31.3764,WSA,fluxnet2015
AU-How,AU-How,131.1523,-12.4943,WSA,fluxnet2015
AU-Lit,AU-Lit,130.7945,-13.17904,,plumber2
AU-Lox,AU-Lox,140.6551,-34.4704,DBF,fluxnet2015
AU-Otw,AU-Otw,142.8168,-38.53234,,plumber2
AU-RDF,AU-RDF,132.4776,-14.5636,WSA,fluxnet2015
AU-Rig,AU-Rig,145.5759,-36.6499,GRA,fluxnet2015
AU-Rob,AU-Rob,145.6301,-17.1175,EBF,fluxnet2015
AU-Sam,AU-Sam,152.8778,-27.3881,,plumber2
AU-Stp,AU-Stp,133.3502,-17.1507,GRA,fluxnet2015
AU-TTE,AU-TTE,133.64,-22.287,OSH,fluxnet2015
AU-Tum,AU-Tum,148.1517,-35.6566,EBF,fluxnet2015
AU-Wac,AU-Wac,145.1878,-37.4259,EBF,fluxnet2015
AU-Whr,AU-Whr,145.0294,-36.6732,EBF,fluxnet2015
AU-Wom,AU-Wom,144.0944,-37.4222,EBF,fluxnet2015
AU-Wrr,AU-Wrr,146.6545,-43.09502,,plumber2
AU-Ync,AU-Ync,146.2907,-34.9893,GRA,fluxnet2015
BE-Bra,BE-Bra,4.51984,51.30761,MF,fluxnet2015
BE-Lon,BE-Lon,4.74613,50.5516,CRO,fluxnet2015
BE-Vie,BE-Vie,5.99808,50.30496,MF,fluxnet2015
BR-Sa1,BR-Sa1,-54.95889,-2.85667,EBF,fluxnet2015
BR-Sa3,BR-Sa3,-54.97144,-3.01803,EBF,fluxnet2015
BW-Ma1,BW-Ma1,23.56033,-19.9165,,plumber2
CA-Gro,CA-Gro,-82.1556,48.2167,MF,fluxnet2015
CA-Man,CA-Man,-98.48081,55.87962,ENF,fluxnet2015
CA-NS1,CA-NS1,-98.48389,55.87917,ENF,fluxnet2015
CA-NS2,CA-NS2,-98.52472,55.90583,ENF,fluxnet2015
CA-NS3,CA-NS3,-98.38222,55.91167,ENF,fluxnet2015
CA-NS4,CA-NS4,-98.380645,55.91437,ENF,fluxnet2015
CA-NS5,CA-NS5,-98.485,55.86306,ENF,fluxnet2015
CA-NS6,CA-NS6,-98.96444,55.91667,OSH,fluxnet2015
CA-NS7,CA-NS7,-99.94833,56.63583,OSH,fluxnet2015
CA-Oas,CA-Oas,-106.19779,53.62889,DBF,fluxnet2015
CA-Obs,CA-Obs,-105.11779,53.98717,ENF,fluxnet2015
CA-Qcu,CA-Qcu,-74.03653,49.26708,,plumber2
CA-Qfo,CA-Qfo,-74.34206,49.6925,ENF,fluxnet2015
CA-SF1,CA-SF1,-105.81757,54.48503,ENF,fluxnet2015
CA-SF2,CA-SF2,-105.8775,54.25392,ENF,fluxnet2015
CA-SF3,CA-SF3,-106.00526,54.09156,OSH,fluxnet2015
CA-TP1,CA-TP1,-80.55951944,42.66093611,ENF,fluxnet2015
CA-TP2,CA-TP2,-80.458775,42.77441944,ENF,fluxnet2015
CA-TP3,CA-TP3,-80.34831389,42.70681111,ENF,fluxnet2015
CA-TP4,CA-TP4,-80.357376,42.710161,ENF,fluxnet2015
CA-TPD,CA-TPD,-80.557731,42.635328,DBF,fluxnet2015
CG-Tch,CG-Tch,11.65642,-4.28917,SAV,fluxnet2015
CH-Cha,CH-Cha,8.41044,47.21022,GRA,fluxnet2015
CH-Dav,CH-Dav,9.85591,46.81533,ENF,fluxnet2015
CH-Fru,CH-Fru,8.53778,47.11583,GRA,fluxnet2015
CH-Lae,CH-Lae,8.365,47.47808,MF,fluxnet2015
CH-Oe1,CH-Oe1,7.73194,47.28583,GRA,fluxnet2015
CH-Oe2,CH-Oe2,7.73433,47.28631,CRO,fluxnet2015
CN-Cng,CN-Cng,123.5092,44.5934,GRA,fluxnet2015
CN-Du2,CN-Du2,116.2836,42.0467,GRA,fluxnet2015
CN-Du3,CN-Du3,116.2809,42.0551,GRA,fluxnet2015
CN-Ha2,CN-Ha2,101.3269,37.6086,WET,fluxnet2015
CN-HaM,CN-HaM,101.18,37.37,GRA,fluxnet2015
CN-Sw2,CN-Sw2,111.8971,41.7902,GRA,fluxnet2015
CZ-BK1,CZ-BK1,18.53686,49.50213,ENF,fluxnet2015
CZ-BK2,CZ-BK2,18.54285,49.49443,GRA,fluxnet2015
CZ-wet,CZ-wet,14.77035,49.02465,WET,fluxnet2015
DE-Akm,DE-Akm,13.6764216942782,53.8651962161274,WET,fluxnet2015
DE-Bay,DE-Bay,11.86694,50.14194,,plumber2
DE-Geb,DE-Geb,10.9143,51.1001,CRO,fluxnet2015
DE-Gri,DE-Gri,13.51259,50.95004,GRA,fluxnet2015
DE-Hai,DE-Hai,10.453,51.07917,DBF,fluxnet2015
DE-Kli,DE-Kli,13.52238,50.89306,CRO,fluxnet2015
DE-Lkb,DE-Lkb,13.30467,49.09962,ENF,fluxnet2015
DE-Lnf,DE-Lnf,10.3678,51.32822,DBF,fluxnet2015
DE-Meh,DE-Meh,10.65547,51.27531,,plumber2
DE-Obe,DE-Obe,13.72129,50.78666,ENF,fluxnet2015
DE-RuR,DE-RuR,6.30413,50.62191,GRA,fluxnet2015
DE-RuS,DE-RuS,6.45216594241739,50.8646703801336,CRO,fluxnet2015
DE-Seh,DE-Seh,6.44965,50.87062,CRO,fluxnet2015
DE-SfN,DE-SfN,11.3275,47.80639,WET,fluxnet2015
DE-Spw,DE-Spw,14.03369,51.89225,WET,fluxnet2015
DE-Tha,DE-Tha,13.56516,50.96235,ENF,fluxnet2015
DE-Wet,DE-Wet,11.45753,50.4535,,plumber2
DE-Zrk,DE-Zrk,12.88901,53.87594,WET,fluxnet2015
DK-Eng,DK-Eng,12.19175,55.69053,GRA,fluxnet2015
DK-Fou,DK-Fou,9.58722,56.4842,CRO,fluxnet2015
DK-Lva,DK-Lva,12.0833,55.6833,,plumber2
GL-NuF,GL-NuF,-51.38611,64.13083,WET,fluxnet2015
DK-Ris,DK-Ris,12.09722,55.53028,,plumber2
DK-Sor,DK-Sor,11.64464,55.48587,DBF,fluxnet2015
GL-ZaF,GL-ZaF,-20.55452,74.48143,WET,fluxnet2015
GL-ZaH,GL-ZaH,-20.5503,74.47328,GRA,fluxnet2015
ES-Amo,ES-Amo,-2.25232,36.83361,OSH,fluxnet2015
ES-ES1,ES-ES1,-0.31881,39.34597,,plumber2
ES-ES2,ES-ES2,-0.31528,39.27556,,plumber2
ES-LJu,ES-LJu,-2.75212,36.92659,OSH,fluxnet2015
ES-LMa,ES-LMa,-5.77336,39.94269,,plumber2
ES-LgS,ES-LgS,-2.96583,37.09794,OSH,fluxnet2015
ES-Ln2,ES-Ln2,-3.47582,36.9695,OSH,fluxnet2015
ES-VDA,ES-VDA,1.4485,42.15218,,plumber2
FI-Hyy,FI-Hyy,24.29477,61.84741,ENF,fluxnet2015
FI-Jok,FI-Jok,23.51345,60.8986,CRO,fluxnet2015
FI-Kaa,FI-Kaa,27.29503,69.14069,,plumber2
FI-Let,FI-Let,23.95952,60.64183,ENF,fluxnet2015
FI-Lom,FI-Lom,24.20918,67.99724,WET,fluxnet2015
FI-Sod,FI-Sod,26.63859,67.36239,ENF,fluxnet2015
FR-Fon,FR-Fon,2.7801,48.47636,DBF,fluxnet2015
FR-Gri,FR-Gri,1.95191,48.84422,CRO,fluxnet2015
FR-Hes,FR-Hes,7.06556,48.67416,,plumber2
FR-LBr,FR-LBr,-0.7693,44.71711,ENF,fluxnet2015
FR-Lq1,FR-Lq1,2.73583,45.64306,,plumber2
FR-Lq2,FR-Lq2,2.73703,45.63919,,plumber2
FR-Pue,FR-Pue,3.5957,43.7413,EBF,fluxnet2015
GF-Guy,GF-Guy,-52.92486,5.27877,EBF,fluxnet2015
GH-Ank,GH-Ank,-2.69421,5.26854,EBF,fluxnet2015
HU-Bug,HU-Bug,19.6013,46.6911,,plumber2
ID-Pag,ID-Pag,113.9,-2.32,,plumber2
IE-Ca1,IE-Ca1,-6.91814,52.85879,,plumber2
IE-Dri,IE-Dri,-8.75181,51.98669,,plumber2
IT-Amp,IT-Amp,13.60516,41.9041,,plumber2
IT-BCi,IT-BCi,14.95744,40.52375,CRO,fluxnet2015
